"id","genres"
"7BT8x82CjBZUjJy6xj1G3O",funk mtg
"1J8pZCdGoz8iM2BiTbykWj",rave funk
"3nFkdlSjzX9mRTtwJOzDYB","east coast hip hop,gangster rap,hip hop,pop rap,rap"
"3HqSLMAZ3g3d5poNaI7GOU","k-pop,pop"
"4ttjWi3eElnVE8qPjqhj9x",funk rj
"1CbWrXtZpVnkN8cstE2VL2",funk viral
"0ebNdVaOfp6N0oZ1guIxM8",k-pop
"2h5Ha0ZiMFmOQD3iYcSXsy","trap brasileiro,trap funk"
"74rzyUJxQzZ7YoSdsuzXvS",funk mtg
"22RXQj1gd5zEbcRjdxiJbu",funk mtg
"3LZZPxNDGDFVSIPqf4JuEf",bronx drill
"2tIP7SsRs7vjIcLrU85W8J",australian hip hop
"5YZEcrC3yHeiZ1bBvwKRUF",brazilian hip hop
"76hYPcWML9NGEh8LashwT5",trap carioca
"3CGLLDfrPjF2FJ8HDCKMMv","sertanejo,sertanejo pop"
"1tnx55teqOt1cV6IlKcgNs",rap feminino nacional
"1ZzJx2AgPmbnOE6OXhnn5K","detroit trap brasileiro,trap brasileiro"
"1EMUjMLPKwHMe4tgY2szbF",plug brasileiro
"3lIU3RoZiHen1QXAQ3KQ9e","trap brasileiro,trap funk"
"1Zl5Ac1YyOHBkJKInGxbaS",no beat
"21ELc2P2rA3Cu6xw3VWqvv","funk consciente,funk mtg,funk paulista"
"0ghlgldX5Dd6720Q3qFyQB","k-pop,k-pop boy group"
"6YzSM19LzpLH0nVKKU6Jsy",funk viral
"7I4OIWw3Zm4lUmt2QHnz30",trap brasileiro
"1RdD4CJBoJIEo0vOogJCCF","deep funk ostentacao,funk carioca,funk ostentacao"
"6HaGTQPmzraVmaVxvz6EUc",k-pop
"0gHj4MPwwcZ8Zl9CY0hqT5","funk carioca,funk rj"
"2879HZwIGp09pCeg5CGuna",funk viral
